2026-06-15 16:38:23,813 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 59.4, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.406037709225206, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 16.0, 'horario': '2026-06-15 16:38:23'}
2026-06-15 16:38:28,807 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 58.09, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.4190545395505659, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 43.0, 'horario': '2026-06-15 16:38:28'}
2026-06-15 16:38:33,814 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 68.63, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3137470713254783, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 25.0, 'horario': '2026-06-15 16:38:33'}
2026-06-15 16:38:42,814 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 55.85, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.44152451777502644, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 54.0, 'horario': '2026-06-15 16:38:42'}
2026-06-15 16:38:47,815 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 57.55, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.4244969790638302, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 53.0, 'horario': '2026-06-15 16:38:47'}
2026-06-15 16:38:52,813 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 57.82, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.42175523952233035, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 14.0, 'horario': '2026-06-15 16:38:52'}
2026-06-15 16:39:05,806 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 61.98, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.38023021428382264, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 75.0, 'horario': '2026-06-15 16:39:05'}
2026-06-15 16:39:10,797 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 57.8, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.4219878968375801, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 55.0, 'horario': '2026-06-15 16:39:10'}
2026-06-15 16:39:19,800 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 57.99, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.42012730404844006, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 49.0, 'horario': '2026-06-15 16:39:19'}
2026-06-15 16:39:32,797 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 55.36, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.44636080506376113, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 28.0, 'horario': '2026-06-15 16:39:32'}
2026-06-15 16:39:37,783 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 54.27, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.4572617768435165, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 79.0, 'horario': '2026-06-15 16:39:37'}
2026-06-15 16:39:46,811 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 54.66, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.45340755699378954, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 70.0, 'horario': '2026-06-15 16:39:46'}
2026-06-15 16:39:51,800 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 61.09, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3891444050099458, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 17.0, 'horario': '2026-06-15 16:39:51'}
2026-06-15 16:39:56,782 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 57.96, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.4204101353942761, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 17.0, 'horario': '2026-06-15 16:39:56'}
2026-06-15 16:40:01,783 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 62.56, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3743889881248479, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 8.0, 'horario': '2026-06-15 16:40:01'}
2026-06-15 16:40:32,804 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 59.81, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.401937884312145, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 79.0, 'horario': '2026-06-15 16:40:32'}
2026-06-15 16:40:41,821 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 58.53, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.4146653574159649, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 73.0, 'horario': '2026-06-15 16:40:41'}
2026-06-15 16:40:46,783 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 64.22, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3578206094047803, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 80.0, 'horario': '2026-06-15 16:40:46'}
2026-06-15 16:40:51,801 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 66.7, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3330355214501332, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 29.0, 'horario': '2026-06-15 16:40:51'}
2026-06-15 16:41:00,788 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 65.45, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.3455161147005704, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 22.0, 'horario': '2026-06-15 16:41:00'}
2026-06-15 16:41:05,768 WARNING [app] Totem facial bloqueado por geolocalizacao: {'totem_id': 1, 'latitude_capturada': '-13.501434542606846', 'longitude_capturada': '-55.15253643234385', 'local_validado_id': 1, 'local_validado': 'Sede Administrativa', 'distancia_metros': 254707.68, 'motivo_bloqueio': 'Local nao autorizado para registro de ponto', 'totem_nome': 'Totem Demonstração', 'similaridade_facial': 65.82, 'diagnostico_facial': {'engine': 'face-api.js', 'distancia_facial': 0.34181003198865967, 'motivo': 'reconhecido_no_frontend'}, 'liveness_score': 10.0, 'horario': '2026-06-15 16:41:05'}
